sp;lon;lat
Abarema langsdorffii;-40.615;-19.921
Abarema langsdorffii;-40.729;-20.016
Abarema langsdorffii;-41.174;-20.303
Abarema langsdorffii;-41.74;-20.493
Abarema langsdorffii;-42.482;-20.701
Abarema langsdorffii;-40.855;-17.082
Abarema langsdorffii;-41.04;-18.73
Abarema langsdorffii;-41.48;-18.879
Abarema langsdorffii;-42.526;-19.499
Abarema langsdorffii;-42.916;-20.263
Abarema langsdorffii;-43.02;-20.502
Abarema langsdorffii;-41.778;-17.614
Abarema langsdorffii;-43.117;-19.847
Abarema langsdorffii;-42.873;-20.778
Abarema langsdorffii;-41.201;-15.178
Abarema langsdorffii;-43.548;-20.291
Abarema langsdorffii;-43.423;-19.406
Abarema langsdorffii;-41.352;-12.478
Abarema langsdorffii;-47.931;-25.077
Abarema langsdorffii;-48.198;-25.378
Abarema langsdorffii;-48.548;-25.764
Abarema langsdorffii;-47.896;-24.615
Abarema langsdorffii;-48.494;-25.275
Abarema langsdorffii;-48.874;-25.51
Abarema langsdorffii;-48.623;-25.936
Abarema langsdorffii;-48.69;-26.01
Abarema langsdorffii;-48.962;-26.28
Abarema langsdorffii;-48.784;-26.641
Abarema langsdorffii;-48.87;-27.001
Abarema langsdorffii;-48.688;-27.45
Abarema langsdorffii;-49.232;-28.619
Abarema langsdorffii;-49.499;-28.711
Abarema langsdorffii;-49.68;-28.8
Abarema langsdorffii;-49.726;-28.956
Abarema langsdorffii;-49.86;-29.07
Abarema langsdorffii;-49.857;-29.369
Abarema langsdorffii;-44.781;-23.283
Abarema langsdorffii;-47.921;-24.182
Abarema langsdorffii;-47.249;-24.521
Abarema langsdorffii;-48.616;-24.571
Abarema langsdorffii;-48.257;-25.22
Abarema langsdorffii;-48.716;-25.603
Abarema langsdorffii;-49.23;-26.37
Abarema langsdorffii;-49.05;-26.73
Abarema langsdorffii;-48.871;-26.82
Abarema langsdorffii;-49.77;-26.91
Abarema langsdorffii;-49.14;-27
Abarema langsdorffii;-48.78;-27.09
Abarema langsdorffii;-49.41;-27.09
Abarema langsdorffii;-50.038;-27.092
Abarema langsdorffii;-48.78;-27.18
Abarema langsdorffii;-49.77;-27.27
Abarema langsdorffii;-49.05;-27.358
Abarema langsdorffii;-48.78;-27.36
Abarema langsdorffii;-48.78;-27.54
Abarema langsdorffii;-48.87;-27.63
Abarema langsdorffii;-48.528;-27.718
Abarema langsdorffii;-48.693;-27.718
Abarema langsdorffii;-48.78;-27.99
Abarema langsdorffii;-48.96;-27.994
Abarema langsdorffii;-48.959;-28.263
Abarema langsdorffii;-49.232;-28.353
Abarema langsdorffii;-49.497;-28.529
Abarema langsdorffii;-49.59;-28.62
Abarema langsdorffii;-49.86;-28.8
Abarema langsdorffii;-49.983;-29.365
Abarema langsdorffii;-42.004;-21.978
Abarema langsdorffii;-43.893;-22.001
Abarema langsdorffii;-42.531;-22.305
Abarema langsdorffii;-43.413;-22.551
Abarema langsdorffii;-43.301;-22.952
Abarema langsdorffii;-46.479;-23.396
Abarema langsdorffii;-46.768;-23.468
Abarema langsdorffii;-46.729;-23.566
Abarema langsdorffii;-45.753;-23.624
Abarema langsdorffii;-46.888;-23.641
Abarema langsdorffii;-46.625;-23.656
Abarema langsdorffii;-46.491;-23.767
Abarema langsdorffii;-46.971;-23.772
Abarema langsdorffii;-48.683;-24.533
Abarema langsdorffii;-50.13;-27
Abarema langsdorffii;-49.14;-27.27
Abarema langsdorffii;-49.41;-27.27
Abarema langsdorffii;-49.41;-27.36
Abarema langsdorffii;-49.05;-27.54
Abarema langsdorffii;-49.23;-27.9
Abarema langsdorffii;-48.87;-28.08
Abarema langsdorffii;-49.499;-28.26
Abarema langsdorffii;-42.928;-22.044
Abarema langsdorffii;-44.623;-22.428
Abarema langsdorffii;-43.158;-22.535
Abarema langsdorffii;-45.358;-22.544
Abarema langsdorffii;-45.322;-23.327
Abarema langsdorffii;-46.611;-23.41
Abarema langsdorffii;-43.885;-21.708
Abarema langsdorffii;-42.569;-22.441
Abarema langsdorffii;-43.362;-22.124
Abarema langsdorffii;-43.318;-21.748
Abarema langsdorffii;-44.59;-22.034
Abarema langsdorffii;-44.772;-22.127
Abarema langsdorffii;-50.606;-21.133
Abarema langsdorffii;-51.826;-23.279
Abarema langsdorffii;-53.368;-23.691
Abarema langsdorffii;-47.11;-22.822
Abarema langsdorffii;-46.704;-22.935
Abarema langsdorffii;-51.254;-23.45
Abarema langsdorffii;-46.908;-23.227
Abarema langsdorffii;-46.871;-23.239
Abarema langsdorffii;-46.412;-23.389
Abarema langsdorffii;-46.356;-23.366
Abarema langsdorffii;-46.129;-23.309
Abarema langsdorffii;-45.228;-22.772
Abarema langsdorffii;-44.809;-22.532
Abarema langsdorffii;-44.803;-22.525
Acanthocladus brasiliensis;-46.973;-23.23
Acanthocladus brasiliensis;-46.625;-23.656
Acanthocladus brasiliensis;-46.52;-23.18
Acanthocladus brasiliensis;-54.914;-22.376
Acanthocladus brasiliensis;-50.376;-22.577
Acanthocladus brasiliensis;-52.275;-22.597
Acanthocladus brasiliensis;-51.953;-23.916
Acanthocladus brasiliensis;-47.477;-22.358
Acanthocladus brasiliensis;-55.668;-22.432
Acanthocladus brasiliensis;-47.11;-22.822
Acanthocladus brasiliensis;-51.254;-23.45
Acanthocladus brasiliensis;-51.57;-24.616
Acanthocladus brasiliensis;-51.253;-20.739
Acanthocladus brasiliensis;-51.025;-21.226
Acanthocladus brasiliensis;-50.975;-21.241
Acanthocladus brasiliensis;-50.917;-21.248
Acanthocladus brasiliensis;-48.57;-22.623
Acanthocladus brasiliensis;-47.853;-22.855
Acanthocladus brasiliensis;-47.787;-22.686
Acanthocladus brasiliensis;-47.577;-23.2
Acanthocladus brasiliensis;-47.552;-23.205
Acanthocladus brasiliensis;-47.545;-23.174
Acanthocladus brasiliensis;-47.52;-23.169
Acanthocladus brasiliensis;-47.508;-23.067
Acanthocladus brasiliensis;-47.47;-23.005
Acanthocladus brasiliensis;-47.47;-23.149
Acanthocladus brasiliensis;-47.455;-23.12
Acanthocladus brasiliensis;-47.455;-22.831
Acanthocladus brasiliensis;-47.455;-22.977
Acanthocladus brasiliensis;-47.412;-23.057
Acanthocladus brasiliensis;-47.412;-23.027
Acanthocladus brasiliensis;-47.407;-22.797
Acanthocladus brasiliensis;-47.402;-23.034
Acanthocladus brasiliensis;-47.402;-22.878
Acanthocladus brasiliensis;-47.401;-23.117
Acanthocladus brasiliensis;-47.396;-23.022
Acanthocladus brasiliensis;-47.383;-22.926
Acanthocladus brasiliensis;-47.377;-22.921
Acanthocladus brasiliensis;-47.27;-22.666
Acanthocladus brasiliensis;-47.262;-22.618
Acanthocladus brasiliensis;-47.257;-22.641
