sp;lon;lat
Ampelocera.ruizii;-58.7408;-11.3783
Ampelocera.ruizii;-71.2878;-8.3839
Ampelocera.ruizii;-71.1433;-8.2967
Ampelocera.ruizii;-67.62;-10.07
Ampelocera.ruizii;-71.14333;-8.29666
Ampelocera.ruizii;-67.54525;-10.0831
Ampelocera.ruizii;-71.37683;-8.44717
Ampelocera.ruizii;-71.376944;-8.447222
Ampelocera.ruizii;-71.36666;-8.43333
Ampelocera.ruizii;-71.2461;-8.0508
Ampelocera.ruizii;-67.6453;-10.2222
Ampelocera.ruizii;-68.9383;-10.7231
Ampelocera.ruizii;-66.7733;-9.91
Ampelocera.ruizii;-68.6761;1.5531
Ampelocera.ruizii;-69.7553;0.2811
Ampelocera.ruizii;-66.7653;0.2111
Ampelocera.ruizii;-67.2994;0.1211
Ampelocera.ruizii;-66.9386;-0.1317
Ampelocera.ruizii;-56.3503;-9.9728
Ampelocera.ruizii;-59.4447;-10.1556
Ampelocera.ruizii;-61.0286;-10.3206
Ampelocera.ruizii;-59.0975;-11.5786
Ampelocera.ruizii;-52.6711;-12.1794
Ampelocera.ruizii;-53.3811;-12.1958
Ampelocera.ruizii;-60.0989;-15.0661
Ampelocera.ruizii;-49.4219;-5.5372
Ampelocera.ruizii;-55.4931;-1.8561
Ampelocera.ruizii;-55.9533;-3.9878
Ampelocera.ruizii;-50.2542;-5.705
Ampelocera.ruizii;-51.7283;-2.9406
Ampelocera.ruizii;-70.1092;-11.0206
Ampelocera.ruizii;-72.3242;-4.7681
Ampelocera.ruizii;-61.2281;-11.2347
Ampelocera.ruizii;-62.2372;-10.7125
Ampelocera.ruizii;-60.8486;-13.2442
Annona.paludosa;-68.9383;-10.7231
Annona.paludosa;-59.9294;-2.9694
Annona.paludosa;-62.3903;-4.1633
Annona.paludosa;-62.3003;-4.2389
Annona.paludosa;-63.2878;-7.9367
Annona.paludosa;-49.9514;1.6811
Annona.paludosa;-50.0839;0.8739
Annona.paludosa;-51.5058;-0.5197
Annona.paludosa;-50.3139;1.1633
Annona.paludosa;-50.9264;2.4322
Annona.paludosa;-50.8994;1.4828
Annona.paludosa;-51.2797;0.6236
Annona.paludosa;-51.0206;0.3867
Annona.paludosa;-51.0122;0.1586
Annona.paludosa;-51.2817;3.2072
Annona.paludosa;-51.8028;3.8672
Annona.paludosa;-51.3819;2.8639
Annona.paludosa;-52.4081;-0.8264
Annona.paludosa;-51.8942;-0.8297
Annona.paludosa;-51.8681;3.8047
Annona.paludosa;-51.5942;0.9233
Annona.paludosa;-51.4514;0.7103
Annona.paludosa;-52.9647;-0.0625
Annona.paludosa;-44.8022;-3.2247
Annona.paludosa;-45.2875;-2.1578
Annona.paludosa;-44.2558;-3.0014
Annona.paludosa;-47.5319;-5.4869
Annona.paludosa;-45.3089;-2.3864
Annona.paludosa;-45.1206;-2.6531
Annona.paludosa;-44.2944;-2.7347
Annona.paludosa;-45.1958;-3.4483
Annona.paludosa;-45.7044;-3.9492
Annona.paludosa;-46.0608;-4.8792
Annona.paludosa;-44.7036;-5.1433
Annona.paludosa;-53.1058;-10.7778
Annona.paludosa;-52.8017;-10.795
Annona.paludosa;-49.5778;-0.1069
Annona.paludosa;-51.1736;-0.1639
Annona.paludosa;-48.9181;-0.2392
Annona.paludosa;-48.2581;-0.8958
Annona.paludosa;-48.5853;-0.9211
Annona.paludosa;-48.4394;-1.2317
Annona.paludosa;-48.5458;-1.3933
Annona.paludosa;-48.6619;-1.4419
Annona.paludosa;-48.9633;-1.6536
Annona.paludosa;-47.1242;-0.7825
Annona.paludosa;-49.0353;-0.9425
Annona.paludosa;-48.5592;-0.8431
Annona.paludosa;-47.7031;-1.0769
Annona.paludosa;-48.1358;-1.1617
Annona.paludosa;-47.8225;-1.1817
Annona.paludosa;-48.2903;-1.2044
Annona.paludosa;-46.9244;-1.2886
Annona.paludosa;-47.9894;-1.3194
Annona.paludosa;-48.4108;-1.4194
Annona.paludosa;-48.7622;-1.6078
Annona.paludosa;-47.2097;-1.7467
Annona.paludosa;-48.1661;-2.0417
Annona.paludosa;-48.3325;-1.4514
Annona.paludosa;-48.4675;-1.5047
Annona.paludosa;-47.2733;-1.5861
Annona.paludosa;-47.7903;-1.7261
Annona.paludosa;-48.2378;-1.8392
Annona.paludosa;-47.4064;-0.8964
Annona.paludosa;-46.1356;-1.5786
Annona.paludosa;-51.3403;-1.6947
Annona.paludosa;-48.3267;-5.5103
Annona.paludosa;-47.8181;-0.8933
Annona.paludosa;-46.7256;-0.9564
Annona.paludosa;-52.1642;-1.2761
Annona.paludosa;-55.9881;2.1633
Annona.paludosa;-56.4256;-4.6339
Annona.paludosa;-55.7072;-5.9347
Annona.paludosa;-55.4428;-6.6133
Annona.paludosa;-56.2703;-4.5578
Annona.paludosa;-55.9592;-5.3581
Annona.paludosa;-51.9878;-6.7906
Annona.paludosa;-52.5561;-7.2189
Annona.paludosa;-63.9269;-8.8292
Annona.paludosa;-64.0908;-9.0317
Annona.paludosa;-65.0836;-9.5047
Annona.paludosa;-64.0378;-8.8728
Annona.paludosa;-63.4947;-8.6606
Annona.paludosa;-63.2764;-9.3058
Annona.paludosa;-64.0533;-9.9361
Annona.paludosa;-63.0808;-10.0542
Annona.paludosa;-61.8919;-10.1933
Annona.paludosa;-64.5764;-11.2536
Annona.paludosa;-61.7183;0.4608
Annona.paludosa;-60.6908;2.7731
Annona.paludosa;-41.0886;-2.9039
Annona.paludosa;-50.8456;-13.7647
Annona.paludosa;-51.1456;-14.9878
Annona.paludosa;-50.4936;-14.0547
Annona.paludosa;-50.67;-15.2519
Annona.paludosa;-43.5431;-4.9031
Annona.paludosa;-44.6044;-6.0189
Annona.paludosa;-45.4931;-6.11
Annona.paludosa;-50.4564;-10.3653
